,National Anthem,sentiment,na_len,Country,Word Count
Libya (1969-2011),"   God is greatest! God is greatest!      He is above plots of the aggressors,   And He is the best helper of the oppressed.   With faith and with weapons I shall defend my country,   And the light of truth will shine in my hand.          Sing with me! Sing with me!   God, God, God is greatest!   God is above the aggressors.        God is greatest! God is greatest!      O world, look up and listen!   The enemy’s army is coming,   Wishing to destroy me.   With truth and with my gun I shall repulse him.              God is greatest! God is greatest!      Sing with me, woe to the Imperialists!   And God is above the treacherous tyrant.   God is greatest! Therefore glorify Him, O my country,   And seize the forehead of the tyrant and destroy him!",POSITIVE,842,Libya (1969-2011),842
Libya,"     Oh my country! With my struggle and my patience   Drive off enemies and mishaps,   And survive!   Survive all through, we are your ransom   Oh Libya!        Oh my country! You are the heritage of grandfathers,   May God cast off any hand that would harm you   Do survive! We are for ever your soldiers,   If you survive we care not who perishes.   To you we give solemn pledges   That we, Oh Libya, will never fail you.   We will never go back to fetters, we have been liberated, and we have freed our home country   Libya, Libya, Libya.              Our grandfathers carried their swords when struggle called on them   Carrying the holy Quran in a hand, and the swords in the other   They fought till they spread religion, peace and prosperity all over the world   Eternity for them   They have built the integrity of our country   Libya, Libya, Libya.             O son of Libya, oh sons of wild lions   We are for glory   And glory is yours   Since we began our struggle, all people were with us   May god protect our independence   Seek the ultimate heights   And be ready for the struggle, our youth   Life is a war for the glory of our home land   Libya, Libya, Libya",NEUTRAL,1268,Libya,1268
Liechtenstein,"   High above the young Rhine   Lies Liechtenstein, resting   On Alpine heights.   This beloved homeland,   This dear fatherland   Was chosen for us by   God’s wise hand.   This beloved homeland,   This dear fatherland   Was chosen for us by   God’s wise hand.       Long live Liechtenstein,   Blossoming on the young Rhine,   Happy and faithful!   Long live the Prince of the Land,   Long live our fatherland,   United by brotherly bonds and free.   Long live the Prince of the Land,   Long live our fatherland,   United by brotherly bonds ",NEUTRAL,631,Liechtenstein,631
Lithuania (1950-1990),"   Soviet Lithuania was created by people   Who long fought for the freedom and truth   Where Vilnius, where Nemunas, where the Baltic Sea   Let our cities prosper and our fields bloom           In the Soviet Union gloriful   Between equals equal and free   Live through ages and be happy   Dear Soviet Lithuania       Lenin lit us the path to freedom   Great nation of Russians helped in the struggle   The   leads us to happiness and good   Friendship of our nations is as firm as steel          Homeland is mighty, we fear no dangers   Let the skies be peaceful and pure   With our work we’ll create a great tommorow   And the dawn of communism will light the E",NEUTRAL,754,Lithuania (1950-1990),754
Luxembourg (royal anthem),"   Two royal children in true love   became separated widely and deeply;   two royal children in true love   also prayed silently for peace:   Today, they show to the entire world   the gold lilies with the red Crown Lion   in a field;   today, they bear in young happiness, hand in hand,   the hope of the Luxembourg land.        Now the storm is over, misery is gone,     all mankind walks freely into the light.     Now the storm is over, misery is gone:     Luxembourg remains master in its own house.     After a long night, the sky brought us     a new spring     and gives to you a green bunch of peace.     Let us stand happily together, hand in hand,     Great and small in the Luxembourg land.          We have proclaimed loyalty in hard times,     have stood upright for freedom and for the country.     We have proclaimed loyalty in hard times,     have provided it to you as your pledge.     And when new danger threatens you,     we are ready,     We stand steadfast with heart and desire.     There it stands strong and proud, hand in hand,     The people of the Luxembourg land.          So it will ever stand united,     trustful in joy and misfortune.     So it will ever stand united,     happily perform its duty for throne and country.     A strong trunk on ancient soil     and twice worthy,     rising its strong top freely towards the sun.     O Lord God, protect and guide, hand in hand,     The people of the Luxembour",NEUTRAL,1534,Luxembourg (royal anthem),1534
Luxembourg (national anthem),"   Where the Alzette flows through the meadows,   The Sura breaks through the crags.   Where the vine fragrant grows along the Moselle,   The sky promises us wine:   There lies the land for which we willingly   Dare everything down here.   Our homeland which we so deeply   Carry in our hearts.   Our homeland which we so deeply   Carry in our hearts.       O Thou above, Whose powerful hand   Leads the nations through the world,   Protect the Luxembourg land   From foreign yoke and threat.   As children Thou already instilled in us all   The spirit of freedom.   Let freedom’s sun, which we have known for so long,   Shine for evermore.   Let freedom’s sun, which we have known for so long,   Shine for e",NEUTRAL,798,Luxembourg (national anthem),798
Lithuania,"   Lithuania, our homeland,   Land of worshiped heroes!   Let your sons draw their strength   From our past experience.      Let your children always follow   Only roads of virtue,   May your own, mankind’s well-being   Be the goals they work for.      May the sun above our land   Bannish darkening clouds around   Light and truth all along   Guide our steps forever.      May the love of Lithuania   Brightly burn in our hearts.   For the sake this land   Let unity ",NEUTRAL,558,Lithuania,558
Macedonia,"   Today over Macedonia   A new sun of freedom rises,   Macedonians fight   For their rights.   Macedonians fight   For their rights.       Now once again flies   The flag of the  ,    .   Goce Delcev, Pitu Guli,   Dame Gruev, Sandanski.       The Macedonian woodlands sing brightly   New songs, new awakenings.   Free Macedonia   Lives free.   Free Macedonia   Liv",NEUTRAL,455,Macedonia,455
Madagascar,"   Oh, Our beloved fatherland   Oh good Madagascar.   Our love for you will not leave,   For you, for you for ever.         Bless you, oh Creator   This island of our ancestors   To live in peace and joy   Hey! We are truly blessed.       Oh our beloved fatherland!   We wish to serve you with   The body and heart, spirit that is ours,   You are precious and truly deserving.             Oh our beloved fatherland!   We wish that you will be blessed,   So that the Creator of this world   Will be the foundation of your laws",NEUTRAL,615,Madagascar,615
Madagascar (to 1896),   O God   bless our Queen Ranavalona   may she live a long life   and rejoice in you       You are mighty   may your grace be upon her   and justice be established       May the kingdom    you gave her last   and we her people we,NEUTRAL,320,Madagascar (to 1896),320
Malawi,"   O God bless our land of Malawi,   Keep it a land of peace.   Put down each and every enemy,   Hunger, disease, envy.   Join together all our hearts as one,   That we be free from fear.   Bless our leader,   each and every one,   And Mother Malawi.       Our own Malawi, this land so fair,   Fertile and brave and free.   With its lakes, refreshing mountain air,   How greatly blest are we.   Hills and valleys, soil so rich and rare   Give us a bounty free.   Wood and forest, plains so broad and fair,   All – beauteous Malawi.       Freedom ever, let us all unite   To build up Malawi.   With our love, our zeal and loyalty,   Bringing our best to her.   In time of war, or in time of peace,   One purpose and one goal.   Men and women serving selflessly   In building",NEUTRAL,863,Malawi,863
Madeira Islands,"   From the valley to the mountain and from the sea to the highlands,    Thy humble people, stoic and brave    Amidst the hard stone plowed thine land,    To cast, of the bread, the seed:        Hero of the labour of the harsh mountain,    Cast to the sea in tormenteous waves:    The laurels of victory, in thy calous hands,    Were the heritage bestowed to thine children.        In this World beyond    Madeira thy name continues    In thy longing children    That in distant lands    Show themselves proud of thee.        In this World beyond,    Madeira, we shall honour thy History    In the path of labour    We shall struggle    And achieve    Thine well-being and",NEUTRAL,762,Madeira Islands,762
Maldives,"   In National Unity do we salute our Nation.   In the National language do we offer our prayers and salute our Nation.       We bow in respect to the Emblem of our Nation,   And salute the Flag so exalted.             We salute the colours of our Flag; Green, Red and White,   Which symbolise Victory, Blessing and Success",NEUTRAL,413,Maldives,413
Malaysia,"   My country, my native land.   The people living united and progressive,   May God bestow blessing and happiness.   May our Ruler have a successful reign.   May God bestow blessing and happiness.   May our Ruler have a successfu",NEUTRAL,320,Malaysia,320
Mali,"   At your call, Mali,    So that you may prosper,    Faithful to your destiny,    We shall all be united,    One people, one goal, one faith    For a united Africa.    If the enemy should show himself    Within or without,    On the ramparts,    We are ready to stand and die.          For Africa and for you, Mali,    Our banner shall be liberty.    For Africa and for you, Mali,    Our fight shall be for unity.    Oh, Mali of today,    Oh, Mali of tomorrow,    The fields are flowering with hope    And hearts are thrilling with confidence.        Stand up, towns and countryside,    Stand up, women, stand up young and old,    For the Fatherland on the road    Towards a radiant future.    For the sake of our dignity    Let us strengthen our ranks;    For the public well-being    Let us forge the common good.    Together, shoulder to shoulder,    Let us work for happiness.              The road is hard, very hard,    That leads to common happiness.    Courage and devotion,    Constant vigilance,    Courage and devotion,    Constant vigilance,    Truth from olden times,    The truths of every day,    Happiness through effort    Will build the Mali of tomorrow.              Africa is at last arising,    Let us greet this new day.    Let us greet freedom,    Let us march towards unity.    Refound dignity    Supports our struggle.    Faithful to our oath    To make a united Africa,    Together, arise, my brothers,    All to the place where honour calls.",NEUTRAL,1559,Mali,1559
Malta,"   To this sweet land, our mother, to which we owe our name,   Guard her, Lord God, like always you have guarded,   Remember her, which you have clothed with light.       Give, Great God, intellect to whom who governs,   Give mercy to the proprietor, and strength to the workman,   To let us serve upright, true and faithful, a united people, Maltese, and in peace.       English versification    Guard her, O Lord, as ever Thou hast guarded!   This Motherland so dear whose name we bear!   Keep her in mind, whom Thou hast made so fair!       May he who rules, for wisdom be regarded!   In master mercy, strength in man increase!   Confirm us all, in unity and peace",NEUTRAL,757,Malta,757
Manchukuo (1933-1942),"   (Now) there is the new Manchuria on Earth,   and the new Manchuria is our new land.   Let us make our country to be upright and free of sadness,   with only love and no hate.   Thirty million people, thirty million people,   at ten times more we should still be free.   With virtue and morals, rectified am I;   with family in order and with the state well-ruled, there are nothing I want.   For now, may we assimilate with the world;   for the future, may we follow the ways of the Heaven an",NEUTRAL,585,Manchukuo (1933-1942),585
Marshall Islands (1979-1991),"   I love the islands where I was born.   The surroundings, the paths, and the gatherings.   I cannot leave here because this is my rightful place.   My family heritage is forever here, it is best for me to d",POSITIVE,298,Marshall Islands (1979-1991),298
Marshall Islands,"   My island lies o’er the ocean;   Like a wreath of flowers upon the sea;   With a light of Mekar from far above;   Shining with the brilliance of rays of life;.   Our Father’s wondrous creation;   Bequeathed to us, our Motherland;   I’ll never leave my dear home sweet home;   God of our forefathers protect and bless forever Marshall ",NEUTRAL,427,Marshall Islands,427
Mauritania (1960-2017),"   Be a helper for God, and censure what is forbidden,   And turn with the law which, which He wants you to follow,   Hold no one to be useful or harmful, except for Him,   And walk the path of the chosen one, and die while you are on it!   For what was sufficient for the first of us, is sufficient for the last one, too.   And leave those people who do evil things with respect to God.   They misrepresented him by making him similar, and made all kinds of excuses.   They made bold claims, and blackened notebooks.   They let the nomads and the sedentary people, both make bitter experiences,   And the great sins of their [doctrinal] innovations bequeathed small.   And just in case a disputant, calls you to dispute about their claims,   Do not, then, dispute on them, except by way of an external ",NEUTRAL,893,Mauritania (1960-2017),893
Mauritania,"     We will protect your blood, we sacrifice for you.   We will paint the entire country with the colour of hope.   And when you call, we answer.          We’ve taken a vow, we’ve taken an oath to you.   We joyfully gift you to the next generation.         We will protect your blood, we sacrifice for you.   We will paint the entire country with the colour of hope.   We will protect your blood, we sacrifice for you.   And when you call, we ",NEUTRAL,534,Mauritania,534
Mauritius,"   Glory to thee, Motherland,   O motherland of mine.   Sweet is thy beauty,   Sweet is thy fragrance,   Around thee we gather   As one people,   As one nation,   In peace, justice and liberty.   Beloved country, may God bless thee   For ever a",NEUTRAL,334,Mauritius,334
Micronesia,"   ‘Tis here we are pledging,   with heart and with hand,   Full measure of devotion   to thee, our native land,   Full measure of devotion   to thee, our native land.       Now all join the chorus,    let union abide.   Across all Micronesia   join hands on every side,   Across all Micronesia   join hands on every side.       We all work together,    with hearts, voice and hand,   Till we have made these islands   another promised land,   Till we have made these islands   another promise",NEUTRAL,583,Micronesia,583
Micronesia (1979-1991),"   We people of Micronesia   Exercise sov’reignty.   Establish our Constitution   Of Federated States.   Affirm our common wish to live   In peace and harmony.   To preserve heritage of past   And promise of future.       :   Make one nation Of many isles,   Diversity Of our cultures.   Our diff’rences Will enrich us,   Waters bring us All together.   They don’t sep’rate.   They sustain us.   Our Islands Our nation   Get larger And make us stronger   And make us much stronger.       Our Ancestors made their homes here,   Displaced no other man,   We who remain wish unity,   Been ruled we seek freedom,   Our days began when men explored   Seas in rafts and canoes.   Our nation born when men voyaged   The seas via the stars.             The world itself is an island   We seek from all nations.   Peace, friendship, co-operation,   Love and humanity.   With this Constitution,   We now become proud guardian   Of our beautiful islands",NEUTRAL,1032,Micronesia (1979-1991),1032
Mexico,"   :   Mexicans, at the cry of war,   Grasp the steel and the bridle,   And let the earth’s core tremble   To the roar of the cannon.       O Homeland! may your brow be wreathed with the olive   By the divine archangel of Peace   For in heaven, your eternal destiny   Has been written by the finger of God.       But if a foreign enemy should dare   To profane your ground with his step,   Think, o beloved Homeland! that heaven   Gave you a soldier in each son.                War, war without truce upon him who means   To sully the blazon of the Homeland;   War, war! Soak our homeland’s flags   In the waves of blood.       War, war! In the mountains and the valley,   The dreadful cannons thunder,   And the deafening echoes resound   The cries of Union! Liberty!                O Homeland, before your unarmed sons   Bend their necks under the yoke,   Your countrysides will be watered with blood   And in blood will be their footprints.       And your temples, palaces, and towers   Will fall with terrible thunder,   And their ruins shall live to say,   “This was the fatherland of a thousand heroes.”                Homeland, Homeland! Your sons swear   To breathe out their breath on your altars,   If the clarion with its warlike tone   Calls them to struggle with valour.       For you the garlands of olive!   For them a memory of glory!   For you a laurel of victory!   For them a tomb of honour!",NEUTRAL,1500,Mexico,1500
Moldova,"   A treasure is our tongue that surges   From deep shadows of the past,   Chain of precious stones that scattered   All over our ancient land.        A burning flame is our tongue   Amidst a people waking   From a deathly sleep, no warning,   Like the brave man of the stories.        Our tongue is the greenest leaf   Of the everlasting forests,   Gentle river Nistru’s ripples   Hiding starlight bright and shining.        Our tongue is more than holy,   Words of homilies of old   Wept and sung perpetually   In the homesteads of our folks.        A treasure will spring up swiftly   From deep shadows of the past,   Chain of precious stones that scattered   All over our ancien",NEUTRAL,772,Moldova,772
Monaco,"   All the time, over our country,   The same flag has been flying in the wind   All the time, the colours red and white   Have been the symbol of our liberty   Great and small have always respecte",NEUTRAL,287,Monaco,287
Mongolia,"   Our unwavering independent nation   All Mongols’ sacred ancestry   All world’s good deeds   Always stable, forever continue         With all honest nations of the world   Strengthen our bonds   With all our will and strength   Let’s develop our beloved Mongolia        Our great nation’s symbol blesses   The people’s fate supports   Our ancestry, culture and language   Let’s forever cherish and prosper         Bright peoples of brave Mongolia   Have freedom and happiness   Key to happiness, column for prosperity   Our great country",NEUTRAL,629,Mongolia,629
Montenegro,"   O the bright dawn of May   O the bright dawn of May   Montenegro our mother    Montenegro our mother       We are sons of your rocks   We are sons of your rocks   and keepers of your honesty   and keepers of your honesty      We love you, the rocky hills   and their eerie gorges deep   that had never to endure   the shameful chains of slavery.      Montenegro our mother    Montenegro our mother       O the bright dawn of May   O the bright dawn of May   Montenegro our mother    Montenegro our mother       While our unity gives wings   to our Lovcen cause   it shall brought the pride and glory   to our beloved homeland.      The river of our waves,   that enter the two seas,   shall to ocean guide the voice   Montenegro is eternal.      shall to ocean guide the voice   Montenegro is eternal.      Montenegro is ",NEUTRAL,914,Montenegro,914
Morocco,"   Fountain of Freedom   Source of Light   Where sovereignty and safety meet,   Safety and sovereignty may you ever combine!   You have lived among nations   With title sublime,   Filling each heart,   Sung by each tongue,   Your champion has risen   And answered your call.   For your soul and your body,   The victory they have conquered.   In my mouth and in my blood   Your breezes have stirred both light and fire.   Up! my brethren,   Strive for the highest.   We call to the world   That we are here ready.   We salute as our emblem   God, Homeland, a",NEUTRAL,648,Morocco,648
Montserrat,"   Oh Montserrat, proud Motherland   Your children raise your standard high.   In toil and tears to serve you well   The emerald jewel from God’s hand         Oh Montserrat, by nature blest   To you your children sing   Come well or woe, come friend or foe   To you your people cling       Rise up and make our country great   With art and skill and sacrifice   With masque and drum we celebrate   Triumphant masters of our fate             We sing our land in harmony   May God be her eternal guard   And make Montserrat a house of hope,   A haven in the Carib Sea.               No fount of sadness overwhelm   A people striving under God   Their spirits free forevermore ",NEUTRAL,764,Montserrat,764
Mozambique (1975-2002),"   Long live FRELIMO,   Guide of the Mozambican people,   Heroic people who, gun in hand,   toppled colonialism.   All the People united   From Rovuma to the Maputo,   Struggle against imperialism   And continue, and shall win.         Long live Mozambique!   Long live our flag, symbol of the Nation!   Long live Mozambique!   For thee your People will fight.       United with the whole world,   Struggling against the bourgeoisie,   Our country will be the tomb   Of capitalism and exploitation.   The Mozambican People,   Workers and peasants,   Engaged in work   Shall always produce wealth",NEUTRAL,685,Mozambique (1975-2002),685
Montenegro (1870-1918),"   To our beautiful Montenegro with proud hills,   Fatherland which doesn’t serve, which with our muscles   We defend and hold, despising any trouble,   Good God, we all pray to you: long live Prince Nikola!        Healthy, happy, mighty, glorious, the devil’s horror,   To its virtuous ancestors equal, to its people beautiful;   Meek to good, harsh to evil; of cross, home, freedom   Our laborious protector, keep Him, Lord!        From spoil and rot keep Him and His Home;   Who dreams disaster to Him, may disaster strike him!   And who breaks his faith, may justice reach him,   Dear God, you banished everything that the evil planned us.        Where He goes with us, everywhere with Him we’re prepared to shed our blood.   For Him for faith, our name and for brethren in chains!   To this holy debt we will answer at any time,   God, be in our vision, bless Him ",NEUTRAL,959,Montenegro (1870-1918),959
Mozambique,"   In the memory of Africa and the World   Beautiful fatherland of that they had dared to fight   Mozambique, your name is Freedom   The Sun of June forever will shine         Mozambique, our Glorious Land   Rock by rock constructing the new day   Millions of arms in one only force   O Loved fatherland we go to be successful      Mozambique, our Glorious Land   Rock by rock constructing the new day   Millions of arms in one only force   O Loved fatherland we go to be successful       Joined people from Rovuma to Maputo   It harvests the fruits of the combat for the Peace   The dream grows waving in the flag   It goes cultivating in the certainty of tomorrow             Flowers sprouting of the soil of your sweat   For mounts, the rivers, the sea   We swear for you, O Mozambique   No tyrant in will go them to enslav",NEUTRAL,916,Mozambique,916
Namibia,   Namibia land of the brave   Freedom’s fight we have won   Glory to their bravery   Whose blood waters our freedom    We give our love and loyalty   Together in unity   Contrasting beautiful Namibia   Namibia our country    Beloved land of savannahs   Hold high the banner of liberty        :   Namibia our country   Namibia motherland   We lov,NEUTRAL,436,Namibia,436
Myanmar,"   ‘Til the end of the world, Myanmar!,   Since she is the true inheritance from our forefathers, we love and value her.   ‘Til the end of the world, Myanmar!,   Since she is the true inheritance from our forefathers, we love and value her.   We will fight and give our lives for the union   This is the country and land of our own   For her prosperity, we will responsibly shoulder the task,   Standing as one in duty to our precious land.             Burmese lyrics (Burmese script)    တရားမျှတ လွတ်လပ်ခြင်းနဲ့မသွေ၊   (တို့ပြည်၊ တို့မြေ၊)   များလူခပ်သိမ်း၊ ငြိမ်းချမ်းစေဖို့၊   ခွင့်တူညီမျှ၊ ဝါဒဖြူစင်တဲ့ပြည၊   (တို့ပြည်၊ တို့မြေ၊)   ပြည်ထောင်စုအမွေ၊ အမြဲတည်တံ့စေ၊   အဓိဋ္ဌာန်ပြုပေ၊ ထိန်းသိမ်းစို့လေ ။   (ကမ္ဘာမကျေ၊ မြန်မာပြည်၊   တို့ဘိုးဘွား အမွေစစ်မို့ ချစ်မြတ်နိုးပေ။)   ပြည်ထောင်စုကို အသက်ပေးလို့ တို့ကာကွယ်မလေ၊   ဒါတို့ပြည် ဒါတို့မြေ တို့ပိုင်နက်မြေ။   တို့ပြည် တို့မြေ အကျိုးကို ညီညာစွာတို့တစ်တွေ   ထမ်းဆောင်ပါစို့လေ တို့တာဝန်ပေ အဖိုးတန်မြေ။            Burmese lyrics (MLC transcription)    ta.ra: hmya. ta. lwat lap hkrang: nai. ma. swi   tui. prany tui. mre   mya: lu hkap sim: ngim: hkram: se hpo.   cit tu nyi hmya. wada. hpyu sang dai. prany   tui. prany tui. mre   prany htaung cu. a mwi a.mrai: tany tam. se   a.dhi.hta:n pru. pe htin: sim: sui. le   kam.bha ma.kye / mran.ma prany /   tui. bhui: bwa: a.mwe cac mui. hkyac mrat nui: pe //   prany htaung su. kui a.sak pe: lui. tui. ka kwai ma.le /   da tui. prany da tui. mre to. puing nak mre //   tui. prany tui. mre a.kyui: kui nyi nya cwa tui. ta.twe   htam: hsaung pa sui. le to. ta wan pe a. hpui: tan mre //            English translation    Where prevail justice and independence   (It’s our country … our land)   Where prevail equal rights and correct policies   For people to lead a peaceful life   (It’s our country … our land)   We solemnly pledge to preserve   Union, the heritage, for perpetuity   (‘Til the end of the world, Myanmar!,   Since she is the true inheritance from our forefathers, we love and value her.)   We will fight and give our lives for the union   This is the country and land of our own   For her prosperity, we will responsibly shoulder the task,   Standing as one in duty to our precious la",NEUTRAL,2283,Myanmar,2283
Nauru,"   Nauru our homeland, the land we dearly love,   We all pray for you and we also praise your name.   Since long ago you have been the home of our great forefathers   And will be for generations yet to come.   We all join in together to honour your flag,   And we shall rejoice together and say;   Nauru for e",POSITIVE,399,Nauru,399
Nepal (1962-2006),"   May glory crown you, courageous Sovereign,   You, the gallant Nepalese,   Shri Pansh Maharajadhiraja, our glorious ruler,   May he live for many years to come   And may the number of his subjects increase.   Let every Nepalese sing this wi",NEUTRAL,332,Nepal (1962-2006),332
Newfoundland,"   When sun rays crown thy pine clad hills,    And summer spreads her hand,    When silvern voices tune thy rills,    We love thee, smiling land.         :   We love thee, we love thee,    We love thee, smiling land.         When spreads thy cloak of shimm’ring white,   At Winter’s stern command,   Thro’ shortened day and starlit night,   We love thee, frozen land,       :   We love thee, we love thee,   We love thee, frozen land.       When blinding storm gusts fret thy shore,   And wild waves lash thy strand,   Thro’ spindrift swirl and tempest roar,   We love thee, wind-swept land,       :   We love thee, we love thee,   We love thee, wind-swept land.       As loved our fathers, so we love,    Where once they stood, we stand;    Their prayer we raise to Heaven above,    God guard thee, Newfoundland         :   God guard thee, God guard thee,    God guard thee, Newfo",NEUTRAL,971,Newfoundland,971
Nepal,"   We are hundreds of flowers, the one garland – Nepali   Sovereign, spread out from Mechi to Mahakali.      We are hundreds of flowers, the one garland – Nepali   Sovereign, spread out from Mechi to Mahakali.      Amassing nature’s millions of heritage   By the blood of the braves, independent and immovable.      Land of knowledge, land of peace, Terai hills, mountains   Undivided this beloved, our motherland Nepal.      Diverse race, language, religion, culture are so large   Our progressive nation, long live, long liv",NEUTRAL,616,Nepal,616
Netherlands Antilles,"   Our islands in the sea, like gems they seem to be,   outstanding from a golden crown of blissful royalty.   Though their people and their cultures colorful may seem,   they yet uniquely blend to be just one family.         So we, your people raise our voice in love and unity         Dear Netherlands Antilles, so beautiful to me.   I’m proud to be a part of you, a patriot I shall be.   Yes Netherlands Antilles, I pledge my loyalty,   To you I always will be true; I say may God bless you.       So blessed with sunny skies and clear welcoming seas,   each island like a link that forms this chain of unity.   May differ in our language, yet meet on common ground,   When some say “Sweet Antilles”, some say “Dushi Antia ta”,                   Yes, proud are we to be identified with you,   dear Netherlands Antilles, to you we will be true.   So we declare and vow, with dignity and love,   Our nation we will always serve, may God keep us as one.      ",NEUTRAL,1049,Netherlands Antilles,1049
Niger,"   Throughout great powerful Niger   Which makes nature more beautiful,   Let us be proud and grateful   Of our new freedom!      Let us avoid vain quarrels   In order to spare ourselves bloodshed,   and may the glorious voices   Of our race be free of domination!      Let us rise in a single leap   As high as the dazzling sky,   Where stands guard its eternal soul   Which will make the country greater!         Arise! Niger! Arise!   May our fruitful labors   Rejuvinate the heart of this old continent!   And may the song be heard   In the four corners of the Earth   As the cry of a fair and valliant people!      Arise! Niger! Arise!   On the ground and on the wave,   To the sound of the drums   In their growing rythms   Let us always remain united,   And may each one respond   To this noble future   Which tells us: – Go ",POSITIVE,922,Niger,922
New Zealand,"   O Lord, God,    Of all people   Listen to us,    Cherish us   May good flourish,    May your blessings flow   Defend        Let all people,    Red skin, white skin   Māori, Pākehā   Gather before you   May all our wrongs, we pray,   Be forgiven   So that we might say long live   Aotearoa       May it be forever prestigious,   May it go from strength to strength,   May its fam spread far and wide,   Let not strife   Nor dissention ensue,   May it ever be great   Aotearoa       Let its territory   Be ever enlightened   Throughout the land   Let envy and dissension   Be dispelled,   Let peace reign   Over Aotearoa       Let its good features endure,   Let righteousness and honesty   Prevail   Among the people of God   Let it never be ashamed,   But rather, let its name be known   Thereby becoming the model to emulate   ",NEUTRAL,921,New Zealand,921
Nicaragua,"   Hail to thee, Nicaragua.  In your land   The cannon’s voice no longer roars,   Nor does the blood of our brothers   Stain your glorious bicoloured flag.   Nor does the blood of our brothers   Stain your glorious bicoloured flag.      Peace shines in beauty in your skies,   Nothing dims your immortal glory,   For work is what earns your laurels   And honour is your triumphal ensign,   Is your triumphal",NEUTRAL,497,Nicaragua,497
Nigeria (1960-1978),"   Nigeria we hail thee,   Our own dear native land,   Though tribe and tongue may differ,   In brotherhood we stand,   Nigerians all, and proud to serve   Our sovereign Motherland.        Our flag shall be a symbol   That truth and justice reign,   In peace or battle honour’d,   And this we count as gain,   To hand on to our children   A banner without stain.        O God of all creation,   Grant this our one request,   Help us to build a nation   Where no man is oppressed,   And so with peace and plenty   Nigeria may be b",NEUTRAL,619,Nigeria (1960-1978),619
Nigeria,"   Arise, O compatriots,   Nigeria’s call obey   To serve our Fatherland   With love and strength and faith.   The labour of our heroes past   Shall never be in vain,   To serve with heart and might   One nation bound in freedom, peace and unity.        O God of creation,   Direct our noble cause;   Guide our Leaders right:   Help our Youth the truth to know,   In love and honesty to grow,   And living just and true,   Great lofty heights attain,   To build a nation where peace and justice shal",NEUTRAL,589,Nigeria,589
Norfolk Island,"        Come ye blessed of my Father   Inherit the kingdom prepared for you   From the foundation of the world   I was hunger’d and ye gave me meat,   I was thirsty and ye gave me drink   I was a stranger and ye took me in,   Naked and ye clothed me,   I was sick and ye visited me,   I was in prison and ye came unto me   In as much ye have done it unto one of the least of   These my brethren   Ye have done it unto me,   Ye have done it u",POSITIVE,531,Norfolk Island,531
Niue,"   The Lord in Heaven   Who loves   Niue, Niue   Who rules kindly   The Almighty   Who rules completely over Niue       Over Niue, Over Niue   Over Niue, Over Niue      Who rules completely over Niue   Who rules ov",NEUTRAL,304,Niue,304
Northern Ireland,"   Would God I were the tender apple blossom   That floats and falls from off the twisted bough   To lie and faint within your silken bosom   Within your silken bosom as that does now.   Or would I were a little burnish’d apple   For you to pluck me, gliding by so cold   While sun and shade you robe of lawn will dapple   Your robe of lawn, and you hair’s spun gold.       Yea, would to God I were among the roses   That lean to kiss you as you float between   While on the lowest branch a bud uncloses   A bud uncloses, to touch you, queen.   Nay, since you will not love, would I were growing   A happy daisy, in the garden path   That so your silver foot might press me going   Might press me going even unto",NEUTRAL,802,Northern Ireland,802
Norway (to 1820),"   For Norway, birthplace of warriors,   we this Toast will empty!   And when we first get our blood in a boil,   we sweetly of liberty dream.   Though we will someday wake up   and break chains, ties, and force.   For Norway, birthplace of warriors,   we this Toast will empty!       Each brave hero, among cliffs born,  we will drink to his honour!   Each honest Norwegian, who chains broke,   will for ever be loved!   The wrathful guard’s crackling guns,   most likely explains Norwegians’ grievance.   Each honest Norwegian, among cliffs born,   We will drink his Honour!       A toast to you, my jolly friend,   and to Norwegian lasses!   If you have one, then a toast to that,   and shame on he, who fails!   Yes, shame he who loves force,   and hates girls, wine and song!   A toast for you, my jolly friend,   and for Norwegian lasses!       And yet a toast for Norway’s mountains,   for cliffs, snow and hills!   Hear Dovre’s echoes cry: “Good Luck!”   for its toast thricefold thanking.   Yes, thrifold three all mountains will,   for sons of Norway cry Good Luck!   Still yet a toast for you, my mountain,   for cliffs, snow an",NEUTRAL,1229,Norway (to 1820),1229
Orange Free State,"   Strike up the song of freedom, burghers,   And sing to our nation’s life!   Free of foreign ties,   Holds our small community,   Basing on order, law and justice,   A rank amongst the states   A rank amongst the states       Our country has a modest start,   But we bravely set about the future,   The eyes turned towards God,   Who won’t refuse him who builds on Him,   Placing his trust in Him like in a castle   That won’t yield to any storm.    That won’t yield to any storm.       Look down in grace and love   To our president, O Lord!   Be Thou his refuge!   The task that lies on his shoulders,   May he perform it faithfully and with pleasure   For welfare of people and state.    For welfare of people and state.        Protect, O God, the country’s council,   Lead it with Thy fatherly hand,   Inspire it from up above,   So its deeds may be hallowed   And may it serve country and citizens   For their benefit.    For their benefit.       Hail, three times hail to the dear state,   To people, president, and council!   So thrive after our singing   The Free State and its citizens,   Greatly virtuous, free of slurs,   Another many centuries!   Another many ce",NEUTRAL,1266,Orange Free State,1266
